condition,task,day,group,delta,theta,alpha,beta,low_gamma,tbr,total_power_0p5_40
baseline,Rest,1,lateral_frontal,6.967077212519714,4.94749605912519,4.266201312319693,15.664087749806178,3.2674625422152297,0.315849613341601,35.11232487598598
baseline,Rest,2,lateral_frontal,6.967077212519714,4.94749605912519,4.266201312319693,15.664087749806178,3.2674625422152297,0.315849613341601,35.11232487598598
baseline,Rest,3,lateral_frontal,30.850108524076937,5.3388666430188945,2.2639581615051805,2.9499572475443303,0.6934327454754617,1.8098115311546272,42.09632332162081
baseline,Rest,4,lateral_frontal,32.071921335409264,6.620164969223246,2.8756992592531754,4.468192467346546,0.883336319190708,1.4816203683264024,46.91931435042294
baseline,Rest,5,lateral_frontal,12.07893646313424,2.1910437076402736,1.4742709499761764,7.716084052157437,2.191441473642709,0.2839579886416157,25.65177664655082
baseline,Rest,6,lateral_frontal,8.214778416103261,2.4776706206811046,2.829118497243531,5.711322421487378,1.7233500854889579,0.4338173259768189,20.95624004100424
baseline,Rest,7,lateral_frontal,12.768926011005114,2.3805345250278807,1.449088854719875,3.564268594877442,0.9452264818974159,0.6678886457797201,21.108044467527726
baseline,Rest,1,all,4.35165707890514,3.212215599362613,3.178362403125621,10.870609588513684,2.3504356148731675,0.2954954433058443,23.963280284780225
baseline,Rest,2,all,4.35165707890514,3.212215599362613,3.178362403125621,10.870609588513684,2.3504356148731675,0.2954954433058443,23.963280284780225
baseline,Rest,3,all,15.582295806862845,2.697078401803587,1.1474705668595546,1.492346961455878,0.34991726037087145,1.8072730212633785,21.269108997352728
baseline,Rest,4,all,18.16737206792413,4.124268392234593,2.0947859989460555,3.279307224758121,0.6284916535791881,1.257664533867758,28.29422533744208
baseline,Rest,5,all,9.603212963131783,1.839180426614122,1.2864676155543235,7.6764944489328535,2.2569995305078168,0.2395859775381972,22.662354984740894
baseline,Rest,6,all,5.656444851351464,1.9052016954344277,2.4082901886530306,4.901233092860604,1.3886766190358193,0.388718850815246,16.259846447335345
baseline,Rest,7,all,6.486037717011152,1.2190347047232002,0.7612113886793208,1.8596682191856584,0.4906350875476218,0.6555119306480437,10.816587117146955
baseline,Rest,1,frontopolar,1.7362369452905653,1.476935139600035,2.090523493931548,6.0771314272211905,1.433408687531105,0.24303162722208455,12.814235693574435
baseline,Rest,2,frontopolar,1.7362369452905653,1.476935139600035,2.090523493931548,6.0771314272211905,1.433408687531105,0.24303162722208455,12.814235693574435
baseline,Rest,3,frontopolar,0.3144830896487478,0.0552901605882803,0.0309829722139288,0.03473667536742504,0.006401775266281253,1.5916940813549953,0.44189467308466324
baseline,Rest,4,frontopolar,4.262822800438999,1.6283718152459414,1.3138727386389346,2.0904219821696937,0.37364698796766804,0.7789679926518087,9.669136324461238
baseline,Rest,5,frontopolar,7.127489463129324,1.4873171455879706,1.0986642811324703,7.636904845708266,2.3225575873729247,0.19475391871928358,19.672933322930955
baseline,Rest,6,frontopolar,3.098111286599667,1.3327327701877516,1.98746188006253,4.0911437642338315,1.05400315258268,0.32576043448752745,11.563452853666456
baseline,Rest,7,frontopolar,0.2031494230171904,0.05753488441851915,0.0733339226387666,0.15506784349387576,0.03604369319782785,0.37103040270751836,0.52512976676618
baseline,Math,1,lateral_frontal,30.768612471484996,9.910864758004013,3.7635379971815475,6.437437165941319,1.1304929381610243,1.5395668342115443,52.01094533077288
baseline,Math,2,lateral_frontal,30.768612471484996,9.910864758004013,3.7635379971815475,6.437437165941319,1.1304929381610243,1.5395668342115443,52.01094533077288
baseline,Math,3,lateral_frontal,90.24628951087551,9.013217386209492,2.43350626126329,3.494718420865797,0.5234523235360597,2.579096882997663,105.71118390275022
baseline,Math,4,lateral_frontal,27.13632003097752,5.717291192676764,1.5925299344058559,3.8710336607042297,0.7107728672361165,1.4769417405780598,39.027947686000495
baseline,Math,5,lateral_frontal,14.859866246156058,3.150534192377743,1.3228607255027907,5.786617467323982,1.2007113439645227,0.5444517820934699,26.3205899753251
baseline,Math,6,lateral_frontal,40.2606309573309,5.888583495095682,1.702798805950733,4.59494685483112,0.8401844782796061,1.2815346251294364,53.287144591488016
baseline,Math,7,lateral_frontal,24.740334313971637,9.842194690778436,1.803186905734437,3.4651817545519403,0.5217583472142513,2.8403112413510514,40.3726560122507
baseline,Math,1,all,29.269698183608075,8.067717389103741,3.6238747618123823,5.508979208359212,0.9589532383665756,1.4644668429428727,47.429222781249976
baseline,Math,2,all,29.269698183608075,8.067717389103741,3.6238747618123823,5.508979208359212,0.9589532383665756,1.4644668429428727,47.429222781249976
baseline,Math,3,all,45.61138870722911,4.555788077419849,1.2289142868259033,1.7636602907138046,0.2643134191478118,2.5831437615324373,53.42406478133645
baseline,Math,4,all,15.23048111384568,3.946575085738804,1.3223065445670943,2.852493338665226,0.5570007788454626,1.383552778982311,23.908856861662255
baseline,Math,5,all,11.12330681941397,2.367305248454127,1.1546305281014513,6.422332573560139,1.4280121810948592,0.3686052102315594,22.49558735062455
baseline,Math,6,all,38.72720305537228,4.9761043648191565,1.5944190005787917,4.310964243429022,0.7965609156469294,1.1542903359507035,50.40525157984618
baseline,Math,7,all,13.345611069978695,5.326074504635553,0.955436279673137,1.7962935602397891,0.2704720355102798,2.965035683769066,21.69388745003745
baseline,Math,1,frontopolar,27.77078389573116,6.224570020203469,3.484211526443217,4.580521250777105,0.7874135385721275,1.358921764449285,42.847500231727075
baseline,Math,2,frontopolar,27.77078389573116,6.224570020203469,3.484211526443217,4.580521250777105,0.7874135385721275,1.358921764449285,42.847500231727075
baseline,Math,3,frontopolar,0.9764879035827038,0.0983587686302062,0.024322312388517398,0.032602160561814454,0.005174514759563873,3.016940194614271,1.1369456599228056
baseline,Math,4,frontopolar,3.3246421967138433,2.175858978800844,1.0520831547283327,1.833953016626223,0.40322869045480875,1.1864311457681713,8.789766037324057
baseline,Math,5,frontopolar,7.386747392671881,1.5840763045305108,0.9864003307001119,7.058047679796298,1.6553130182251963,0.2244354779672201,18.670584725923998
baseline,Math,6,frontopolar,37.193775153413654,4.06362523454263,1.4860391952068508,4.026981632026923,0.7529373530142526,1.0090995206494802,47.523358568204344
baseline,Math,7,frontopolar,1.9508878259857514,0.8099543184926702,0.10768565361183714,0.12740536592763774,0.019185723806308154,6.3573014574024995,3.0151188878242037
baseline,Music,1,lateral_frontal,6.868037219190342,3.4481340241842773,2.8940359788413197,6.03846293538168,1.5029147654850674,0.5710284324145358,20.751584923082703
baseline,Music,2,lateral_frontal,6.868037219190342,3.4481340241842773,2.8940359788413197,6.03846293538168,1.5029147654850674,0.5710284324145358,20.751584923082703
baseline,Music,3,lateral_frontal,48.026869769285035,6.320167209663028,1.8469545085483319,2.3079211645997213,0.3638613516172143,2.738467546728,58.86577400371331
baseline,Music,4,lateral_frontal,21.490503451190804,5.65131996353307,1.563185559772104,2.7141821044231196,0.3814553287075504,2.082144729465092,31.80064640762664
baseline,Music,5,lateral_frontal,5.647084730539359,2.48670935012717,1.1082644600889417,5.182142284056921,1.657986641900074,0.4798612646699486,16.08218746671247
baseline,Music,6,lateral_frontal,13.50909722840174,3.314805261978276,2.259854540973657,5.7380801588551344,1.1455652293024294,0.5776854226866793,25.96740241951123
baseline,Music,7,lateral_frontal,4.512006825821247,2.02882160987231,0.9784241250178963,2.912146914962267,1.1267381138114556,0.6966755693019689,11.558137589485177
baseline,Music,1,all,4.99725798438856,2.654669419975636,2.342554889783023,4.876778048928528,1.1076433425511516,0.5443490340018429,15.978903685626904
baseline,Music,2,all,4.99725798438856,2.654669419975636,2.342554889783023,4.876778048928528,1.1076433425511516,0.5443490340018429,15.978903685626904
baseline,Music,3,all,24.279671291986062,3.190938640915346,0.9353479709304755,1.1682652871702366,0.18385273206432245,2.731347645057925,29.758075923066436
baseline,Music,4,all,12.351456970824556,3.3681508015734805,1.169085517438131,2.2843248869664277,0.30171645541898445,1.4744622451871845,19.47473463222159
baseline,Music,5,all,4.262579057946671,1.8903923581695703,1.025406242200848,5.764604617664973,1.7227661400267273,0.3279309655299999,14.66574841600879
baseline,Music,6,all,10.26938693943404,2.609331533072735,1.9250861701722606,5.527272868576606,1.0487725447304657,0.4720829955595615,21.379850055986108
baseline,Music,7,all,2.3249210216821634,1.0548184653988597,0.5443895371870747,1.5180830720356502,0.5767814324127937,0.6948357997197196,6.01899352871654
baseline,Music,1,frontopolar,3.12647874958678,1.8612048157669943,1.7910738007247258,3.7150931624753754,0.7123719196172353,0.5009846952335562,11.206222448171106
baseline,Music,2,frontopolar,3.12647874958678,1.8612048157669943,1.7910738007247258,3.7150931624753754,0.7123719196172353,0.5009846952335562,11.206222448171106
baseline,Music,3,frontopolar,0.5324728146870992,0.06171007216766474,0.023741433312619346,0.028609409740753055,0.003844112511430753,2.1569851572212273,0.6503778424195673
baseline,Music,4,frontopolar,3.212410490458308,1.08498163961389,0.7749854751041575,1.8544676695097346,0.2219775821304189,0.5850636586728559,7.148822856816514
baseline,Music,5,frontopolar,2.878073385353984,1.2940753662119715,0.9425480243127542,6.34706695127302,1.7875456381533814,0.20388557047636327,13.249309365305114
baseline,Music,6,frontopolar,7.029676650466339,1.903857804167194,1.5903177993708644,5.316465578298076,0.9519798601585023,0.35810592133593067,16.792297692460973
baseline,Music,7,frontopolar,0.13783521754307973,0.08081532092540909,0.11035494935625315,0.12401922910903301,0.026824751014131648,0.6516354077185831,0.47984946794790667
baseline,Video,1,lateral_frontal,88.41219526759127,20.40678404674688,5.143380933050336,6.128952394758269,0.8712348573366474,3.329571308825893,120.96254749948338
baseline,Video,2,lateral_frontal,88.41219526759127,20.40678404674688,5.143380933050336,6.128952394758269,0.8712348573366474,3.329571308825893,120.96254749948338
baseline,Video,3,lateral_frontal,41.29179432701153,11.894041495731871,1.7585631425224244,2.6499832124841225,0.3086310088742749,4.4883459788344355,57.90301318662423
baseline,Video,4,lateral_frontal,26.800794065257783,7.370097691014584,1.6211122489196719,2.7800045397880004,0.5167920223529816,2.6511099480350553,39.088800567332996
baseline,Video,5,lateral_frontal,12.604022564567318,4.853691531718043,1.5472405621800833,3.7890070509767293,0.8154499245011333,1.2809930059293133,23.609411633943296
baseline,Video,6,lateral_frontal,26.12220075099135,6.282624812383707,2.3868517496446606,5.300033890303292,0.7730944537017875,1.1853933281215654,40.864805657024824
baseline,Video,7,lateral_frontal,16.444239528202793,5.151225866745439,1.4701323708702092,3.0243823843616373,0.4715113043047016,1.7032323337753863,26.561491454484774
baseline,Video,1,all,80.31989183689919,16.76105919000655,4.004755260775901,4.892896524933705,0.7861913947936309,3.4255903644383014,106.764794207409
baseline,Video,2,all,80.31989183689919,16.76105919000655,4.004755260775901,4.892896524933705,0.7861913947936309,3.4255903644383014,106.764794207409
baseline,Video,3,all,20.88327216882328,6.01377250204761,0.8898247947410485,1.3406121343967479,0.1561437507924156,4.485840719884058,29.2836253508011
baseline,Video,4,all,16.684333842531046,4.65332794656276,1.219201447343435,2.1085030859172718,0.38060181040816915,2.2069343780630044,25.04596813276269
baseline,Video,5,all,10.254776930656426,3.888288497622544,1.2518891590551822,4.159397685446029,0.8905500329284145,0.9348200849435215,20.444902305708595
baseline,Video,6,all,22.680125037507306,5.199196861247862,2.041306884083158,4.877677694223217,0.7512546127899109,1.0659164436808586,35.549561089851466
baseline,Video,7,all,8.659926626472124,2.74214081665266,0.7596552904590038,1.5654536212090593,0.24312292354217496,1.7516589309971384,13.970299278335025
baseline,Video,1,frontopolar,72.22758840620709,13.115334333266222,2.8661295885014644,3.656840655109141,0.7011479322506144,3.5865205980310306,92.56704091533454
baseline,Video,2,frontopolar,72.22758840620709,13.115334333266222,2.8661295885014644,3.656840655109141,0.7011479322506144,3.5865205980310306,92.56704091533454
baseline,Video,3,frontopolar,0.47475001063502376,0.13350350836334912,0.02108644695967275,0.031241056309373703,0.003656492710556337,4.273335288067457,0.6642375149779758
baseline,Video,4,frontopolar,6.567873619804307,1.9365582021109358,0.8172906457671982,1.4370016320465435,0.24441159846335708,1.3476381368843233,11.003135698192347
baseline,Video,5,frontopolar,7.905531296745533,2.9228854635270443,0.9565377559302812,4.529788319915332,0.9656501413556959,0.6452587311147636,17.28039297747388
baseline,Video,6,frontopolar,19.238049324023258,4.115768910112019,1.6957620185216546,4.455321498143141,0.7294147718780339,0.9237871861385002,30.234316522678107
baseline,Video,7,frontopolar,0.8756137247414565,0.3330557665598809,0.04917821004779851,0.10652485805648107,0.014734542779648198,3.1265544271675045,1.3791071021852652
baseline,Retrieval,1,lateral_frontal,103.47277082468335,9.355665318088079,4.874201633981398,4.989593685298969,0.7574693911900157,1.8750355055268395,123.44970085324182
baseline,Retrieval,2,lateral_frontal,103.47277082468335,9.355665318088079,4.874201633981398,4.989593685298969,0.7574693911900157,1.8750355055268395,123.44970085324182
baseline,Retrieval,3,lateral_frontal,24.600792288663236,6.132759917582783,2.021101975267053,2.3143498856558566,0.28325636762612005,2.649884512101263,35.35226043479505
baseline,Retrieval,4,lateral_frontal,28.307040400243913,6.477510542661721,2.267077979479096,3.20672047717936,0.6942781314382511,2.01997978581512,40.9526275310024
baseline,Retrieval,5,lateral_frontal,3.7505856213094813,2.317367515803931,1.4913359044157573,3.0907941037980065,0.6599081815639741,0.7497644417518207,11.309991326891147
baseline,Retrieval,6,lateral_frontal,16.87065371030217,4.250894991743858,2.891907145529143,4.498500369866989,0.7555753499558095,0.9449582399099697,29.26753156739797
baseline,Retrieval,7,lateral_frontal,42.00323726411426,7.103482666960156,1.8150702160767458,3.022551047072006,0.5217926287899002,2.3501613558657395,54.46613382301307
baseline,Retrieval,1,all,80.60716305896618,6.7850179034419575,3.810257542039066,4.188829198707869,0.678943713926224,1.6197886286542638,96.07021141708127
baseline,Retrieval,2,all,80.60716305896618,6.7850179034419575,3.810257542039066,4.188829198707869,0.678943713926224,1.6197886286542638,96.07021141708127
baseline,Retrieval,3,all,12.429181303309267,3.0957041013463242,1.022244053086101,1.170649326400045,0.14308777670439593,2.6444333341617896,17.860866560846137
baseline,Retrieval,4,all,17.00041997215068,4.6752900047070876,1.781166798899268,2.611570915768355,0.5676719182583808,1.790221347801908,26.636119609783773
baseline,Retrieval,5,all,2.3199123308993825,1.595372009686869,1.2923652321253754,2.748573101447043,0.5610210632204251,0.5804364485874334,8.517243737379097
baseline,Retrieval,6,all,11.330864332125751,3.284724149380456,2.5398692917409504,4.165286345070719,0.758638981662194,0.7885950393945096,22.079383099980067
baseline,Retrieval,7,all,21.31024067421088,3.594305176047243,0.9548247001694423,1.5689511267847758,0.2698377592611995,2.290896838458563,27.698159436473556
baseline,Retrieval,1,frontopolar,57.74155529324903,4.2143704887958355,2.7463134500967326,3.388064712116766,0.6004180366624323,1.2438872474082165,68.69072198092083
baseline,Retrieval,2,frontopolar,57.74155529324903,4.2143704887958355,2.7463134500967326,3.388064712116766,0.6004180366624323,1.2438872474082165,68.69072198092083
baseline,Retrieval,3,frontopolar,0.25757031795530283,0.0586482851098657,0.0233861309051488,0.026948767144233658,0.0029191857826717993,2.1762882433905673,0.3694726868972227
baseline,Retrieval,4,frontopolar,5.693799544057445,2.873069466752454,1.2952556183194395,2.01642135435735,0.441065705078511,1.424835866047513,12.319611688565196
baseline,Retrieval,5,frontopolar,0.8892390404892834,0.8733765035698073,1.0933945598349932,2.40635209909608,0.46213394487687615,0.3629462637233686,5.724496147867043
baseline,Retrieval,6,frontopolar,5.791074953949332,2.318553307017053,2.1878314379527577,3.832072320274446,0.7617026133685785,0.6050390267297989,14.891234632562169
baseline,Retrieval,7,frontopolar,0.6172440843075013,0.08512768513433092,0.09457918426213915,0.11535120649754635,0.017882889732498904,0.7379869506275314,0.9301850499340168
baseline,ColorCounting,1,lateral_frontal,162.79172638594218,28.460475866307434,5.650818792307087,6.348091409006938,0.8794933421355373,4.483312232386339,204.1306057956991
baseline,ColorCounting,2,lateral_frontal,162.79172638594218,28.460475866307434,5.650818792307087,6.348091409006938,0.8794933421355373,4.483312232386339,204.1306057956991
baseline,ColorCounting,3,lateral_frontal,128.73736177155553,19.213655479727656,4.088605560948597,3.730330015775281,0.37936624390170864,5.150658359575312,156.14931907190888
baseline,ColorCounting,4,lateral_frontal,61.03378299566397,8.052489975493483,1.9671534419506524,3.683763595407028,0.485109029009296,2.1859410265993855,75.22229903752446
baseline,ColorCounting,5,lateral_frontal,26.6967253034612,5.7901794126284685,1.3286405454920287,2.684542878868973,0.398650846934522,2.156858606433559,36.89873898738517
baseline,ColorCounting,6,lateral_frontal,21.799443269070533,6.586650541552318,2.6622316403173905,6.445280071383032,1.6785465240820838,1.0219339530018205,39.172152046405365
baseline,ColorCounting,7,lateral_frontal,20.39381949634848,5.964242666259534,2.2660652203626657,4.261957177914674,0.48342375730479414,1.3994140291146164,33.36950831819014
baseline,ColorCounting,1,all,147.74408342992984,24.20303218155559,4.566934232994163,5.260041592331994,0.7736082530031881,4.601300532839586,182.5476996898147
baseline,ColorCounting,2,all,147.74408342992984,24.20303218155559,4.566934232994163,5.260041592331994,0.7736082530031881,4.601300532839586,182.5476996898147
baseline,ColorCounting,3,all,65.0024444582985,9.699112688047906,2.064070516774198,1.8872527608872085,0.19199710822649754,5.139275930102917,78.84487753223426
baseline,ColorCounting,4,all,33.2781909196064,5.1163508532853355,1.4555174904734869,2.8154692480651273,0.34385381891956945,1.8172284626448827,43.009382330349915
baseline,ColorCounting,5,all,18.135731316753052,3.82551919628683,0.9848331193160049,2.284775306665111,0.3679514255134533,1.6743524779557468,25.598810364534437
baseline,ColorCounting,6,all,16.165485326291467,5.488749343031224,2.2869587466336663,5.443629844671924,1.3311437755203817,1.0082884949283357,30.715967036148665
baseline,ColorCounting,7,all,10.337866480091533,3.037894340581918,1.1615265558277577,2.186292465138395,0.2511547179607953,1.389518735037865,16.974734559600392
baseline,ColorCounting,1,frontopolar,132.69644047391748,19.945588496803747,3.483049673681242,4.171991775657052,0.6677231638708391,4.780831211888594,160.96479358393037
baseline,ColorCounting,2,frontopolar,132.69644047391748,19.945588496803747,3.483049673681242,4.171991775657052,0.6677231638708391,4.780831211888594,160.96479358393037
baseline,ColorCounting,3,frontopolar,1.2675271450414634,0.18456989636815946,0.03953547259979925,0.04417550599913551,0.004627972551286337,4.178104861363023,1.5404359925598445
baseline,ColorCounting,4,frontopolar,5.522598843548854,2.1802117310771854,0.9438815389963217,1.9471749007232257,0.20259860882984254,1.119679454715344,10.796465623175429
baseline,ColorCounting,5,frontopolar,9.574737330044906,1.860858979945192,0.6410256931399811,1.8850077344612488,0.3372520040923845,0.9871890422120954,14.298881741683712
baseline,ColorCounting,6,frontopolar,10.531527383512401,4.39084814451013,1.911685852949943,4.441979617960818,0.9837410269586806,0.9884890346538417,22.259782025891976
baseline,ColorCounting,7,frontopolar,0.281913463834579,0.11154601490430145,0.0569878912928493,0.11062775236211504,0.018885678616796447,1.0083004718307995,0.5799608010106413
