,,delta,delta,delta,delta,theta,theta,theta,theta,alpha,alpha,alpha,alpha,beta,beta,beta,beta,low_gamma,low_gamma,low_gamma,low_gamma,tbr,tbr,tbr,tbr
,,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median,mean,std,sem,median
condition,task,,,,,,,,,,,,,,,,,,,,,,,,
baseline,ColorCounting,83.46351222971201,66.00688975210294,24.948259300131745,61.03378299566397,14.646881401182332,10.52591179644555,3.9784207050851506,8.052489975493483,3.3734762848122157,1.768959817878698,0.6686039653390207,2.6622316403173905,4.786008079623266,1.5627740620209627,0.5906730747842425,4.261957177914674,0.7405832979290684,0.4649660752778603,0.17574065760956514,0.485109029009296,2.9830614913567675,1.6768995946776795,0.6338084715917358,2.1859410265993855
baseline,Math,36.96866657175452,24.70232673721728,9.336601907334073,30.768612471484996,7.633364353306591,2.7070372762714747,1.0231639175422818,9.013217386209492,2.3402798038886,1.0286837215798346,0.3888059007200928,1.803186905734437,4.869624641451387,1.3349411246603338,0.5045603186805881,4.59494685483112,0.865409319507515,0.29227424341983765,0.11046928038834954,0.8401844782796061,1.6859242772246812,0.7835147007113658,0.29614072094935373,1.5395668342115443
baseline,Music,15.274519491945552,15.622252763380319,5.904656532927985,6.868037219190342,3.8140130633632015,1.5875606179922315,0.6000415123496369,3.4481340241842773,1.9349650217262244,0.7841723371096285,0.2963892841440548,1.8469545085483319,4.418771213951503,1.6931894346268284,0.6399654523635205,5.182142284056921,1.0973480280441226,0.5318173479496349,0.20100806365494855,1.1455652293024294,1.1024130568115373,0.9154980807508543,0.3460257496319556,0.5776854226866793
baseline,Rest,15.702689310681178,11.013819082775012,4.162832325440028,12.07893646313424,4.129038940548826,1.7582778796327527,0.6645665721791748,4.94749605912519,2.7749340496196178,1.1670141399661729,0.44108988440663105,2.829118497243531,7.962571469003642,5.483879990184633,2.072711810535981,5.711322421487378,1.85310174144653,1.0986094891141103,0.415235356595951,1.7233500854889579,0.7583992980803409,0.6270110363365836,0.23698789591992625,0.4338173259768189
baseline,Retrieval,46.06826441914283,40.87925106408432,15.450904585448521,28.307040400243913,6.427620895846943,2.560124602892007,0.9676361463700345,6.477510542661721,2.8906994983900844,1.421786632749058,0.5373848353785614,2.267077979479096,3.730300464881451,1.076313120069779,0.40680812122009113,3.20672047717936,0.6328213488220124,0.17567797201826021,0.06640003211321148,0.6942781314382511,1.7806884780710845,0.6971505763817549,0.263498150210209,1.8750355055268395
baseline,Video,42.86963453874476,32.413300247191,12.251075946419402,26.800794065257783,10.909321355869627,6.893620361941686,2.6055435872269674,7.370097691014584,2.724380277176817,1.6795759708923848,0.6348200467173013,1.7585631425224244,4.257330838204331,1.559845750824337,0.5895662771860029,3.7890070509767293,0.6611354897725963,0.22571479800321367,0.08531217467766883,0.7730944537017875,2.566888173192506,1.2362861274860542,0.46727223466388473,2.6511099480350553
medication,ColorCounting,37.46012040014195,18.550793919669495,7.011541047750657,25.9589334316227,8.963010688064362,4.484722307276438,1.6950657034624643,7.256985105894181,2.1963870032013078,0.6650070262033244,0.25134903020637284,1.9672420938190627,4.9855569801345965,2.4042112884932987,0.9087064526582047,4.255203255588643,0.9076382733052037,0.467534989434815,0.17671161589510445,0.9806934186255554,1.9945452349590282,1.0250557446360336,0.3874346543264394,1.7377215286616148
medication,Math,35.43219377427668,21.93903207154919,8.292174695255623,30.764515067188853,8.61301306227059,8.363448396881866,3.1610863658673205,6.03248919270973,2.034398328878361,1.05846660848873,0.40006277387530687,1.5124337178293425,5.739542013144714,3.220673207495332,1.2173000516059107,4.55163733106705,1.3818867082484334,1.156521902215629,0.4371241912945592,1.0281168330541401,1.7762642918604592,1.9024400378374842,0.719054746332899,1.451006182841437
medication,Music,40.6901909744514,18.887903085251427,7.138956335866412,38.16238441296121,9.633225710404881,6.268436008877204,2.369246112687336,7.188258922059831,2.4035705565111156,0.8719817013125851,0.3295781042103006,2.2053658104234097,4.715177032924871,2.4228708660184437,0.9157591100440711,4.3484490201483945,1.1609667895603584,0.8086664931431463,0.30564720492106917,0.9599837715020383,2.2210202384373896,1.4368563697989458,0.5430806606010099,1.9216095503872712
medication,Rest,49.158236550297275,40.92024716134653,15.466399653745666,34.46162996333794,12.371012965114755,14.782650545347883,5.587316723051978,6.964146857820191,2.424205967450786,0.8535367914368789,0.3226065835694266,2.0826213078378126,4.544772954484324,2.364709727788538,0.8937762660833878,3.5832160789718626,1.1392788263947933,0.7746882394462123,0.29280463216873365,0.9175793626934341,3.3587245284276213,4.2427944573233605,1.603625571148694,1.818215778782312
medication,Retrieval,47.51077626722739,17.672950823615942,6.679747544565988,46.03647725398291,10.205105220755708,4.596809258807269,1.7374305890290258,10.5441791724751,2.8147538453492076,1.1040508165470861,0.4172919850516264,2.8011252692262545,3.319984122351045,1.5654404422988026,0.5916808718007985,2.239220768265958,0.6427172673755799,0.36378835930122133,0.1374990755101775,0.47737105605601593,3.5003384300306286,2.374199509913288,0.8973630665831414,2.5789137135038125
medication,Video,54.94284651779235,21.81053461926254,8.243607223419072,60.55057622148448,12.702311505458114,6.008601824478946,2.271038022111466,11.292331647217557,3.0552330446541753,0.9794980449947102,0.3702154623899939,3.1992319833551237,5.801782690884584,3.0025418928429,1.1348541642164942,4.722376632336767,1.13630123802815,0.7037305823703494,0.26598515870608563,0.9884714650682769,2.3578632728147992,1.0918629138349105,0.4126853908259312,2.184127205956479
meditation,ColorCounting,33.78028715051077,28.32997484153836,10.707724011346711,16.89937705680353,6.51351119586294,3.6969275798897288,1.397307284486299,6.14961574829687,2.3081310999567015,1.312136849608357,0.49594111287821024,2.051159959048972,5.01717072182706,1.8468374309304474,0.6980389363153416,5.56487428721461,0.8562503037964483,0.3251676565738902,0.12290182195659578,0.9657103969713208,1.2415982427997834,0.4091883695565078,0.15465866646093038,1.1733817777037
meditation,Math,34.79126543941333,63.99211757205532,24.186746994866397,15.978182460037596,4.822394052621399,4.982948881669312,1.8833776480920597,3.8579077891163838,1.4114906172867325,0.8607200536573116,0.32532160148905953,1.4003699076926273,5.198875690070388,2.804544577987971,1.060018213450109,5.331100743414049,1.0140108700398407,0.6068918558209001,0.2293835604589384,0.9379511464602149,0.8866315839324032,0.6722531217249128,0.2540877968815645,0.6724080398138987
meditation,Music,6.685759927435746,6.929623085605908,2.6191513377036117,4.248255400792407,2.686229050801443,1.700364710566163,0.6426774517526269,2.080233050524525,1.7145131627857306,1.045771102193734,0.3952643235289333,1.1787103004350956,5.8955590502558035,2.934557405652625,1.1091584433428194,5.928287459692237,1.7609448122059062,1.060461390647652,0.40081673066277207,1.386040683252274,0.5340960329537742,0.3318638797028721,0.12543275640269363,0.5046666342489079
meditation,Rest,4.295015720164648,1.8416360185039315,0.6960729872086499,3.76917129911143,2.2807575971256164,1.0105053258621834,0.3819351129625176,2.1341834998940152,1.930913638811525,1.116874201390872,0.4221387689463024,1.4027699960630569,5.785819382662146,3.5762033196357326,1.3516778030799685,5.585961601373665,1.4762061531581911,1.048192566952757,0.3961795511804879,1.2870630945539128,0.49391173946345085,0.25407641044364504,0.09603185657740841,0.4141876388094551
meditation,Retrieval,13.94113316980462,6.630658337121891,2.5061532840945144,15.41742733544124,3.6793743829425942,1.3641777205605705,0.5156107132426049,3.8511011651094096,1.9676844223253156,1.06094409505391,0.40099917577930255,1.6529232131474711,4.103048753141661,2.311425086610645,0.8736365647610999,3.978327767785422,0.9932459888910831,0.8477581388922901,0.3204224582057077,0.8246761787984425,1.010107145748305,0.3198939713429001,0.12090855629744807,1.1221824821712312
meditation,Video,82.21459933881542,126.31814838790768,47.74377238693689,50.23101873338801,19.087970385899954,30.29255577570768,11.449509879867975,8.852619454686968,3.750656652923087,3.6380494995585755,1.3750534618821397,2.9910979278588763,6.234204436747739,3.7409909048278105,1.4139616558755554,5.836325100540166,1.087583227439353,0.6636243943176036,0.2508264444743206,1.1038410164862462,2.28393040502603,2.068397540130784,0.7817807862291137,1.5168139714951172
